"Scenario","Variable","time_center","AR1","Variance","CV","Skewness","Kurtosis","Reddening"
"4y","npp",1991,-0.371303641601712,0.0111392468067134,40.6721878952254,-0.423170969768123,0.522564488342887,0.358149475530556
"4y","npp",1992,-0.379273311061214,0.0111809840024305,50.4641010672467,-0.407344412004507,0.483740630929939,0.345139096429539
"4y","npp",1993,-0.371705474654794,0.0111695207481179,46.6222063739226,-0.412899625552011,0.495145031833849,0.345131176232382
"4y","npp",1994,-0.374417442646195,0.0113553260722345,21.4740824780145,-0.47680151650304,0.425619295174992,0.349417939305519
"4y","npp",1995,-0.371934185483409,0.0113591117090611,19.784672152176,-0.489890807797995,0.432583246605505,0.353939599711853
"4y","npp",1996,-0.360080115079913,0.0117195397963936,234.297289516563,-0.343783982716186,0.122424386656502,0.350044548909729
"4y","npp",1997,-0.350357332874388,0.0116144544456564,64.8746554279914,-0.379948484957655,0.205839302952986,0.347082677103891
"4y","npp",1998,-0.35558341541776,0.0116248949256956,51.2143195334421,-0.393076254685167,0.20703807130628,0.331672812478431
"4y","npp",1999,-0.415280164308035,0.0110638067296894,-20.6959103770459,-0.252193288993686,0.408078230920824,0.28562274624913
"4y","npp",2000,-0.3837704058933,0.0129613242797217,-5.75022120376832,-0.158201121186677,-0.0583269651511528,0.35606172168135
"4y","npp",2001,-0.373867603491915,0.013462455349937,-6.33577512077422,-0.105429920832647,-0.108255488391289,0.366362580865739
"4y","npp",2002,-0.166120145617663,0.0130738331516131,19.2457539912902,0.18474995020787,-0.273575429215523,0.623473584692182
"4y","npp",2003,-0.206706758622799,0.0130482585646357,79.7984754452892,0.311182927498819,-0.212393116999527,0.930325229160642
"4y","npp",2004,-0.182526448774225,0.0133574443697655,-35.5327466148574,0.417192446882122,-0.279239716043346,1.31375807169121
"4y","npp",2005,-0.122212259418043,0.0129547430747482,16.7713742394192,0.218018082792255,-0.278536199921607,2.51215568052247
"4y","npp",2006,0.0055683790425258,0.011142539250006,-81.2367644382309,0.229096624987262,0.27832519535851,2.59961575404589
"4y","npp",2007,-0.0829700420151906,0.010396140169046,64.5255337794688,0.303447671489135,0.506684531731849,2.20494221174725
"6y","ctotal",1988,0.257711307986567,0.882292470482376,-3.2196741834958,0.382503325278395,-0.376197851179212,3.13087246034751
"6y","ctotal",1989,0.124143629160686,1.03823414882531,-4.9577766006358,0.313298606000434,-0.828564935382183,2.47104066805114
"6y","ctotal",1990,0.192409109813891,1.05582752890229,-5.15768821157503,0.321108339267352,-0.851548456654576,2.37849323796459
"6y","ctotal",1991,0.273872613520058,1.17791242777163,-7.23066217176635,0.326918686897386,-1.06056768946287,3.00842418407877
"6y","ctotal",1992,0.34495506470499,1.26991200885782,-12.2844741991535,0.219900042596693,-1.34031095659605,3.21999098188176
"6y","ctotal",1993,0.41215703278036,1.4919683261798,-190.048171197823,0.243984469896178,-1.42304335903773,3.12096253051821
"6y","ctotal",1994,0.448303733333598,2.20933158186818,5.30297298389485,0.789744095645228,0.559129912261505,4.28420683249834
"6y","ctotal",1995,0.270917927795575,2.30322640169114,6.28138553168122,0.772132940320992,0.39753093275335,2.36145291501969
"6y","ctotal",1996,0.266951420972108,4.1408939896975,-127.673533429134,-0.80048086079853,2.70153904972803,4.42348707042213
"6y","ctotal",1997,0.422822061160907,4.43267346705673,-17.0465237161878,-0.638592637293936,1.84019922314019,6.76271949656535
"6y","ctotal",1998,0.336647041487487,4.70140398791588,-31.3019790328537,-0.560723784674113,1.50667397669958,8.35912279138636
"6y","ctotal",1999,0.371244992168112,6.48217437969555,9.15204400024148,-0.0320492450344876,1.2053442954226,14.8406643312569
"6y","ctotal",2000,0.487599512854454,7.76116696610128,4.23534258213695,-0.0168174238476738,0.690313086445532,24.9398476268276
"6y","ctotal",2001,0.330622912049588,8.1186547875057,4.75837355380299,-0.023193506740777,0.45075027590245,10.4835563380675
"6y","ctotal",2002,0.370351018353369,8.24968747821325,5.16368309384371,0.0127887782799686,0.335872834759413,8.01459615277084
"6y","ctotal",2003,0.337741465259008,11.3861349870433,24.9650635719575,-0.320533373528179,0.295400749160631,7.77272828105821
"6y","ctotal",2004,0.466702900502314,12.8817157315262,-24.3516250032771,-0.20550543269066,-0.305441652682075,6.64014744671382
"6y","ctotal",2005,0.286892616882881,14.8783728369411,22.4952407818922,-0.191145288862852,-0.598956635090145,5.59078144023106
"6y","ctotal",2006,0.32979271776,15.1297480929318,10.1474822433923,-0.346319415126048,-0.611149751582656,4.39087499014477
"6y","ctotal",2007,0.295688702779911,15.6197519153789,13.5469867085032,-0.288726103412488,-0.789688221881544,4.37582894763644
"6y","evapm",1988,0.0720604874553939,0.000549603939473563,11.9873578733117,-0.079006385631899,-0.356038696679359,2.06990492450188
"6y","evapm",1989,0.0508364759867417,0.000546660159836226,27.6905804624,0.0682695072081579,-0.325730484819788,1.82575309407826
"6y","evapm",1990,0.0725074993954119,0.0006191590613332,-17.9649015672926,0.141574901246158,-0.636946718058533,1.97003826323222
"6y","evapm",1991,-0.0186809303133377,0.0006648292445059,-21216.1776343559,0.0397023297099168,-0.928907056358423,1.73183410867722
"6y","evapm",1992,0.0847466355718115,0.000719164149876223,12.3860680109207,-0.113248535395058,-1.13295732776436,2.01342821344733
"6y","evapm",1993,0.310748077452466,0.000686718305401844,15.2163729106847,-0.168750324587822,-1.14397476157807,2.74722859826423
"6y","evapm",1994,0.255687009475565,0.000568499116255261,4.97967734058058,-0.207206027764602,-1.09063699541617,2.2894753185511
"6y","evapm",1995,0.0601227597940457,0.000859972554458071,12.8008406464067,-1.01107098752904,1.25336747078163,2.57594051969374
"6y","evapm",1996,0.303503525024119,0.000947800849585904,24.5018824441097,-0.973383524339262,0.713132882716112,3.78436458289385
"6y","evapm",1997,0.389683248452298,0.00103318812228595,-21.0189277619664,-0.708365240157534,-0.102559893101942,5.08432253069966
"6y","evapm",1998,0.36493158215113,0.00103976179166688,-30.6571169885273,-0.748658703802992,-0.0915548482217629,4.42557303834226
"6y","evapm",1999,0.287519453639726,0.00147301476572267,8.03736213279234,-0.0541118918236013,0.737954491541154,4.59107989919456
"6y","evapm",2000,0.390025172368876,0.00152024411764535,5.59995365711325,-0.204384366501319,0.540555807459571,4.19280365803735
"6y","evapm",2001,0.306756236874286,0.00161864998774439,12.1819482349802,-0.00248277654411359,0.155496257532258,4.45348004873051
"6y","evapm",2002,0.340789556079124,0.00162466352106041,21.5154246732025,0.111160322548062,0.138766195167304,4.24520003424727
