"date","npp","photo","ar","lai","f5","evapm","cleaf","cwood","croot","csap","cheart","csto","ctotal","wue","ls","frequency","sim_year"
2006,0.702528703385169,1.38215978645762,0.694562456364413,5.83178896255819,0.44837869025783,1.34177783802782,0.204117942363877,38.9909773039096,0.266146114522344,3.27185693142221,35.7191203724874,6.37117151342402,45.8324128742199,0.00706858137121606,57,"4y",27
2007,0.768906893312657,1.46188946215756,0.711931460281735,5.97221074303306,0.471373446881528,1.33692722062555,0.207821058711538,40.5927313969722,0.271352183369903,3.37776560673807,37.2149657902341,7.40318419739674,48.4750888364503,0.00732560797493101,57,"4y",28
2008,0.750873244197445,1.43723814051613,0.703701733401361,5.99490390204859,0.46657075172002,1.30457894684485,0.210041793080353,39.1583201739416,0.274130467600459,3.33468631070243,35.8236338632392,7.19758730329335,46.8400797379158,0.00761446734583119,57,"4y",29
2009,0.608903636942058,1.247350400955,0.655869473258304,5.64139978820364,0.405279266032268,1.14961873122748,0.196539285505126,38.0431226499779,0.256408990872101,3.00569532830731,35.0374273216705,5.46949643701238,43.9655673633675,0.00784233105534217,47.7013698630137,"4y",30
2010,1.01529215657373,1.73579176193352,0.750292272085564,6.54798442422791,0.552068595144187,0.742661696258714,0.229795197990948,38.6784607795134,0.30134777931585,3.27283606380258,35.4056247157109,10.9803500316359,50.1899537884561,0.0162448410159681,12,"4y",31
2011,1.10809246220395,1.87345116899235,0.806243428957507,6.9206156775345,0.591597542738072,0.767434082157946,0.247796522770192,40.4910982810475,0.326147998682833,3.50429435709453,36.986803923953,12.7001286115222,53.7651714140227,0.0159351490225043,12,"4y",32
2012,0.873418540335629,1.59882104899984,0.75012526036361,6.3308882332853,0.501159605082053,0.653343164453167,0.229749179466805,40.9599435285816,0.300522355574312,3.32051765235115,37.6394258762304,9.26379152045788,50.7540065840805,0.0166010794213009,12,"4y",33
2013,0.836698070759884,1.55246922380767,0.739208103149502,6.37116386478302,0.48972821470511,0.670521459048163,0.227343713843356,36.0593078657867,0.297180850213922,3.24693708980258,32.8123707759841,8.43906066105477,45.0228930908988,0.0266116268218428,12,"4y",34
2014,0.981110947743023,1.7228639423334,0.771069393316814,6.71248384260326,0.544755173430183,0.776792972787065,0.23734354436469,38.6509138406328,0.310981644220408,3.32999301209993,35.3209208285328,10.654134056553,49.8533730857709,0.0254609324546163,12,"4y",35
2015,0.914748227467531,1.65405293704644,0.768953508446963,6.59966946591704,0.520355454082143,0.72716869840298,0.230041147189489,39.1639589375639,0.301583379587792,3.31976156117374,35.8441973763902,9.91000690560341,49.6055903699446,0.0201070585715671,12,"4y",36
2016,0.762386016333173,1.44091807896397,0.694668397996254,6.04929708204035,0.452536316161232,0.609849816295883,0.21532069052127,35.0256130423274,0.280746477630636,3.0324292570626,31.9931837852648,7.64155288972211,43.1632331002014,0.0215195068648784,12,"4y",37
1979,1.72872455798218,2.52286353728405,0.849604976298544,7.41347708533436,0.882151726751225,1.74118769286678,0.255799265124896,33.4429170316872,0.33851458850545,3.86429767278657,29.5786193589006,22.8480883375083,56.8853192228258,0.00666891063451409,58,"6y",0
1980,1.72369355867192,2.52158114084866,0.855460790181625,7.38070541179947,0.878959467423558,1.72671601374787,0.257849685080034,34.8380602818234,0.341399062170433,3.89015962001454,30.9479006618088,22.8541528199436,58.2914618490175,0.00653033095757828,58,"6y",1
1981,1.75027683583561,2.540359778585,0.84534256847729,7.4219229977955,0.881704841020424,1.71635572349146,0.256769821046474,33.9295525631294,0.3397535698282,3.85406523362661,30.0754873295028,23.3753924871645,57.9014684411685,0.00669426630146891,58,"6y",2
1982,1.71506449456865,2.52555299499275,0.86844609636527,7.54225173368284,0.872982743059997,1.70061470841179,0.260909826813783,34.665204758309,0.345493150326897,3.96792625768688,30.6972785006221,22.302309189149,57.5739169245986,0.00697371597355133,58,"6y",3
1983,1.72597369334398,2.51592534866285,0.845553180826592,7.35135293463808,0.873236345759305,1.74334553825362,0.254869694364716,34.4571281978536,0.337312157840317,3.8460579349946,30.611070262859,22.9697381777807,58.0190482278394,0.00636013377850171,58,"6y",4
1984,1.79817963978747,2.59309584904351,0.851025694771747,7.53258551759589,0.892502678365732,1.65352987810753,0.261900317781662,31.774656682613,0.34660251114289,3.86660488896554,27.9080517936474,24.0148506595769,56.3980101711144,0.00784849319281875,58,"6y",5
1985,1.7938287832817,2.58926428704054,0.849585390882359,7.51901910144287,0.890309555903201,1.66598500727582,0.260212161112234,32.9338410717045,0.34415509861309,3.87096491705457,29.0628761546499,23.9119223463527,57.4501306777826,0.00838052012517859,58,"6y",6
1986,1.78083426749549,2.57584032242704,0.851289840809935,7.45645111261762,0.885816854806326,1.66304113503902,0.260201653290093,32.8903586663895,0.344382585384305,3.88406021857514,29.0062984478144,23.8501660196335,57.3451089246974,0.00873981612354162,58,"6y",7
1987,1.69652419786042,2.53722885588845,0.9045053186853,7.63380712628865,0.867487565385692,1.70234930316552,0.264203435352728,35.4370812240295,0.350465432495949,4.07841294427043,31.3586682797591,21.9993658094651,58.0511159013433,0.00802226811174975,58,"6y",8
1988,1.79052043390686,2.59342754154218,0.857903734244899,7.38250260510524,0.881471312895178,1.69103898077574,0.256530914120967,35.9852064955977,0.339186276592208,3.92009604943178,32.0651104461659,23.7792661860725,60.3601898723834,0.00808780452762817,58,"6y",9
1989,1.7996003912187,2.58153669472619,0.835673388145845,7.35375380625663,0.885046320676226,1.67229336721347,0.257153098420826,33.0007460417327,0.340123748759228,3.79927118889499,29.2014748528377,24.5176635517677,58.1156864406805,0.00866005354593215,58,"6y",10
1990,1.75232086476115,2.59578920855481,0.906958919285045,7.75823146410544,0.874251183456916,1.68592316123719,0.268435149629282,34.2525727220139,0.355908604909387,4.10298207359766,30.1495906484163,22.7369782373326,57.6138947138852,0.00708544944998529,58,"6y",11
1991,1.74002873072855,2.54591336534827,0.862655380240309,7.4327805242223,0.864897348569927,1.71701841124926,0.257362574150499,34.000663446886,0.340779558981797,3.89494128650305,30.1057221603829,23.1508314096024,57.7496369896207,0.00767617315926624,58,"6y",12
